country_code,country_name,region,income_group,year,gdppc
ABW,Aruba,Latin America & Caribbean ,High income,2019,30654.49
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2019,496.6
AGO,Angola,Sub-Saharan Africa ,Lower middle income,2019,2507.87
ALB,Albania,Europe & Central Asia,Upper middle income,2019,6069.44
AND,Andorra,Europe & Central Asia,High income,2019,41257.8
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2019,45938.61
ARG,Argentina,Latin America & Caribbean ,Upper middle income,2019,9955.97
ARM,Armenia,Europe & Central Asia,Upper middle income,2019,4597.23
ASM,American Samoa,East Asia & Pacific,High income,2019,12886.14
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,2019,18896.37
AUS,Australia,East Asia & Pacific,High income,2019,55194.76
AUT,Austria,Europe & Central Asia,High income,2019,49885.99
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2019,4805.75
BDI,Burundi,Sub-Saharan Africa ,Low income,2019,234.31
BEL,Belgium,Europe & Central Asia,High income,2019,46716.62
BEN,Benin,Sub-Saharan Africa ,Lower middle income,2019,1130.82
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,2019,764.85
BGD,Bangladesh,South Asia,Lower middle income,2019,2129.8
BGR,Bulgaria,Europe & Central Asia,High income,2019,10354.25
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,2019,27259.74
BHS,"Bahamas, The",Latin America & Caribbean ,High income,2019,33640.34
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2019,6122.38
BLR,Belarus,Europe & Central Asia,Upper middle income,2019,6837.77
BLZ,Belize,Latin America & Caribbean ,Upper middle income,2019,6171.61
BMU,Bermuda,North America,High income,2019,115798.04
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,2019,4203.15
BRA,Brazil,Latin America & Caribbean ,Upper middle income,2019,9029.83
BRB,Barbados,Latin America & Caribbean ,High income,2019,21929.44
BRN,Brunei Darussalam,East Asia & Pacific,High income,2019,30426.57
BTN,Bhutan,South Asia,Lower middle income,2019,3576.88
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,2019,7172.09
CAF,Central African Republic,Sub-Saharan Africa ,Low income,2019,449.23
CAN,Canada,North America,High income,2019,46352.97
CHE,Switzerland,Europe & Central Asia,High income,2019,85872.97
CHI,Channel Islands,Europe & Central Asia,High income,2019,60564.63
CHL,Chile,Latin America & Caribbean ,High income,2019,14496.93
CHN,China,East Asia & Pacific,Upper middle income,2019,10342.9
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,2019,2141.77
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,2019,1555.23
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,2019,504.0
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,2019,2488.42
COL,Colombia,Latin America & Caribbean ,Upper middle income,2019,6472.55
COM,Comoros,Sub-Saharan Africa ,Lower middle income,2019,1519.26
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,2019,4380.78
CRI,Costa Rica,Latin America & Caribbean ,High income,2019,12951.86
CUB,Cuba,Latin America & Caribbean ,Upper middle income,2019,9232.26
CUW,Curacao,Latin America & Caribbean ,High income,2019,19220.69
CYM,Cayman Islands,Latin America & Caribbean ,High income,2019,88254.29
CYP,Cyprus,Europe & Central Asia,High income,2019,29227.17
CZE,Czechia,Europe & Central Asia,High income,2019,24062.72
DEU,Germany,Europe & Central Asia,High income,2019,47656.2
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2019,2837.17
DMA,Dominica,Latin America & Caribbean ,Upper middle income,2019,9491.15
DNK,Denmark,Europe & Central Asia,High income,2019,59404.27
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,2019,8183.02
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2019,4468.45
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,2019,6205.06
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2019,2962.99
ESP,Spain,Europe & Central Asia,High income,2019,29786.52
EST,Estonia,Europe & Central Asia,High income,2019,24021.25
ETH,Ethiopia,Sub-Saharan Africa ,Low income,2019,793.47
FIN,Finland,Europe & Central Asia,High income,2019,48358.18
FJI,Fiji,East Asia & Pacific,Upper middle income,2019,5842.07
FRA,France,Europe & Central Asia,High income,2019,40408.28
FRO,Faroe Islands,Europe & Central Asia,High income,2019,63070.72
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income,2019,3581.73
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,2019,7441.18
GBR,United Kingdom,Europe & Central Asia,High income,2019,43160.68
GEO,Georgia,Europe & Central Asia,Upper middle income,2019,4741.28
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,2019,2186.66
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,2019,1031.34
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,2019,738.19
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,2019,811.21
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,2019,6804.15
GRC,Greece,Europe & Central Asia,High income,2019,19335.36
GRD,Grenada,Latin America & Caribbean ,Upper middle income,2019,10462.79
GRL,Greenland,Europe & Central Asia,High income,2019,53309.2
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,2019,4512.0
GUM,Guam,East Asia & Pacific,High income,2019,39274.94
GUY,Guyana,Latin America & Caribbean ,High income,2019,6405.82
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,2019,48359.0
HND,Honduras,Latin America & Caribbean ,Lower middle income,2019,2502.33
HRV,Croatia,Europe & Central Asia,High income,2019,15563.74
HTI,Haiti,Latin America & Caribbean ,Lower middle income,2019,1352.17
