country_code,country_name,year,life_exp,infant_mort
ABW,Aruba,2019,76.02,
AFG,Afghanistan,2019,62.94,56.6
AGO,Angola,2019,63.05,35.5
ALB,Albania,2019,79.47,8
AND,Andorra,2019,84.1,2.9
ARE,United Arab Emirates,2019,82.6,5
ARG,Argentina,2019,76.85,8.9
ARM,Armenia,2019,76.22,10.7
ASM,American Samoa,2019,72.75,
ATG,Antigua and Barbuda,2019,77.17,8
AUS,Australia,2019,82.9,3.2
AUT,Austria,2019,81.9,2.9
AZE,Azerbaijan,2019,73.29,16.5
BDI,Burundi,2019,62.18,35.7
BEL,Belgium,2019,82.0,3.3
BEN,Benin,2019,59.89,51.8
BFA,Burkina Faso,2019,60.18,50.2
BGD,Bangladesh,2019,72.62,25.4
BGR,Bulgaria,2019,75.11,5.5
BHR,Bahrain,2019,80.47,6.5
BHS,"Bahamas, The",2019,71.41,16
BIH,Bosnia and Herzegovina,2019,77.39,5.9
BLR,Belarus,2019,74.23,2.4
BLZ,Belize,2019,72.58,11.4
BMU,Bermuda,2019,81.25,
BOL,Bolivia,2019,67.82,18.4
BRA,Brazil,2019,75.81,12.9
BRB,Barbados,2019,76.5,10.6
BRN,Brunei Darussalam,2019,75.05,9
BTN,Bhutan,2019,72.0,17.9
BWA,Botswana,2019,67.17,37.4
CAF,Central African Republic,2019,31.53,128.9
CAN,Canada,2019,82.16,4.5
CHE,Switzerland,2019,83.9,3.5
CHI,Channel Islands,2019,81.2,
CHL,Chile,2019,80.32,6
CHN,China,2019,77.94,6
CIV,Cote d'Ivoire,2019,60.27,51.8
CMR,Cameroon,2019,61.7,46.9
COD,"Congo, Dem. Rep.",2019,60.24,56.5
COG,"Congo, Rep.",2019,63.15,33.2
COL,Colombia,2019,76.79,12.3
COM,Comoros,2019,65.66,39.8
CPV,Cabo Verde,2019,75.45,13.2
CRI,Costa Rica,2019,80.3,7.9
CUB,Cuba,2019,77.41,5.4
CUW,Curacao,2019,76.49,
CYM,Cayman Islands,2019,79.05,
CYP,Cyprus,2019,81.45,2.5
CZE,Czechia,2019,79.23,2.4
DEU,Germany,2019,81.29,3.1
DJI,Djibouti,2019,64.38,50.2
DMA,Dominica,2019,71.31,30.6
DNK,Denmark,2019,81.45,3.3
DOM,Dominican Republic,2019,73.11,30.9
DZA,Algeria,2019,75.68,20.7
ECU,Ecuador,2019,77.29,11.7
EGY,"Egypt, Arab Rep.",2019,71.21,22.9
ERI,Eritrea,2019,67.31,28.7
ESP,Spain,2019,83.83,2.6
EST,Estonia,2019,78.65,1.9
ETH,Ethiopia,2019,65.74,40.8
FIN,Finland,2019,81.98,1.9
FJI,Fiji,2019,67.01,20.3
FRA,France,2019,82.83,3.3
FRO,Faroe Islands,2019,82.39,
FSM,"Micronesia, Fed. Sts.",2019,66.2,23.7
GAB,Gabon,2019,67.34,30.1
GBR,United Kingdom,2019,81.37,3.8
GEO,Georgia,2019,74.17,8.2
GHA,Ghana,2019,64.45,32.9
GIB,Gibraltar,2019,83.18,
GIN,Guinea,2019,59.38,67
GMB,"Gambia, The",2019,64.43,38.2
